"","title","username","date","stars","content"
"11","Spider-Man: Across the Spider-Verse","planktonrules","21 June 2023",410,"""Spider-Man: Across the Spider-Verse"" currently has an astounding overall rating of 9.0. Like many other incredibly high ranked movies, I'm sure over time the score will drop but given it's so high now, I cannot imagine it leveling off below 8.0...meaning it's one of the best rated movies of all time. Well, while it might be a great crowd-pleaser, I am writing a dissenting review....and if you are like me, you might not be as bowled over as most reviewers.To put things in perspective, I am 59 years-old and certainly NOT in the target audience....so keep this in mind. While I like an occasional superhero film, I also don't adore them...but I did think the previous Spider-Man film, ""Spider-Man: Into the Spiderverse"" was one of the best of its genre. In fact, I gave it a 10...I was that impressed with its originality and story and animation. So why was I left colder by its sequel? Well, there are several reasons. First, if you are like me and not all that familiar with Spider-Man, you'll probably find much of the story confusing...unlike the previous film. Second, the artwork, while very original, made my brain hurt! It was LOUD and BRASH and really awful...at least to me. The worst part was that the backgrounds actually looked like I was watching a 3-D movie WITHOUT 3-D glasses! Uggh...it was an assault on my eyes. And, third, I hated how the film ended with no plot resolution whatsoever....none.So does all this mean I hated the film? No. I laughed quite a few times...and mostly when it introduced other alternate universe Spider-creatures (many are women or animals...not just Spider-MEN). I also thought the basic story, once you strip away the horribly fast edits and garish artwork, was very interesting. Overall, not a bad film but I just did not particularly enjoy it nor do I particularly need to see the third and final film in the series."
"12","Spider-Man: Across the Spider-Verse","rgkarim","2 June 2023",910,"LIKES:The Pace For The Most Part
-Comic book movies are an art that requires balance to tell all it has to tell, and Miles' next story.. has A LOT to tell.-It found a good pace for me to tell the story, giving you the character development, but not at a pace that was too slow and lost on itself, for the most part.-Yet, the movie did manage to keep it slow enough that there was real development, build up, hints, and appreciation to age like fine wine.-This dynamic was very impressive to me, keeping an engaging movie for my attention, but not skimping out on the action like some of these deeper movies try to do.-That takes talent in the cooking pot as big as this, building on the past movie, but yet doing its own thing until the end for the setup.The Voice Acting
-Everyone rocks in this movie, and I have to agree with my friend that it is grade A on many levels with what you get in live action movies.-Isaac is still strong as the anti-hero role that he often plays. His moodiness, his anger, his dark edge are mirrored in the character. There is hurt, anguish, and the fire that he shows so well, and I love how his voice is the main focus in his performance and not the looks.-Hailee Steinfeld is fantastic in Gwen. It's like taking all of her characters from her movie and integrating a piece of them into this Gwen and expanding her far into a character I really liked.-She was vulnerable and strong, a realistic character whose performance came out in spades and fully awakened the character I think they were going for.-And Moore... well Moore is just freaking amazing as Morales. That tone, vulnerability, this maturity but still immaturity cascading and once more evolving a character from the first one being believable. A stellar performance and one that I think brought so many things together, engaging with each of the others into this dynamic role.-It all works so well and I loved the strong talent bringing things to life.The Storytelling
-There are so many who say that comic movies seldom tell a good story or are telling the same story over and over again. And to a degree... they are right.-Yet... for Across the Spider-Verse, that story feels fresh, engaging, and grounded to a degree that helps balance reality and super heroism into a great mashup.-It's not so in your face super adventures that are all about action, violence, and CGI madness, but it also isn't CW bologna about exploring our feelings in colorful underwear.-This sequel really focuses so much on building up characters, but integrating it into this main comic adventure that works to keep both involved and feel like a superhero.-I love the heart into it, and the way they built up from the first movie, but yet made this movie its own thing, until the final moments where the known cliffhanger was going to come in.-And to add relative components to it, engaging characters, and keeping those characters involved in the story... that is tough work.The Comedy To A degree
-I really enjoyed the diverse comedy in this movie, and how many types of jokes and styles that were in it.-Miles is sort of a jack of all trades, sarcasm, banter, slapstick, he has a little bit of everything in it and I love it.-Others are just rambling idiots who are throwing so many jokes and statements that some eventually hit, but you have to listen because they fluctuate in terms of volume and such.-And other jokes are so well-timed and loaded with sarcasm that you just appreciate the laugh from the time alone.-It has it all and in relative balance to keep things fresh and not overwhelmingly stale as they hope from one joke to the other.The Nostalgia and Easter Eggs
-Part of that comedy comes in the references loaded into this movie almost as much as the plot in this movie, and it works.-Across the Spider-Verse, tackles many famous tropes in both Spiderman comics and movies, blending the two of them together into this natural flowing arc that utilizes it well.-Nostalgia reigns supreme in this movie, all the comic and show references of the webbed wonder just taking my child nature and taking it for the roller coaster ride of finding everything I could.-But the movie references as well... so much fun as well, seeing these micro moments and nods to the other universes and watching them blended into the comedy and story.-Then to have it just in the world, it's going to make for a fun rewatch potential in the future.The Action Scenes
-A huge step up, Across the Spider-Verse took my dislike from the first film and unleashed much more of the action I knew it had.-The opening scene paints for some great things to come, but soon the fight scenes and adventure transform into something that is fun, exciting, and family friendly.-Chase scenes have energy, with styles that flow and show off the heart of the animation, feels of the comic book and fan art coming together into this cascade of color and energy.-I loved the way that they evolved past punches and added more emotions and stakes that though predictable still held glimmer of exciting twists if they come.-And the fact they can punch, kick, and slam without being bloody messes should please so many, alongside the fact that the action all goes in line with the actual plot.The Animation/Art Style
-You've seen the trailers and the first one and know how beautiful the movie is. Amidst the blurry backgrounds, the movie really has bold art direction that captures comic book spirit.-The computer animation goes well with the natural feel of the art, and I loved the way it felt like flipping through a flip book and seeing it come to life.-It respects both worlds so well, and like the story keeps things easy to follow and discover to appreciate everything the Spider-Verse had to offer. That was epic.-And to keep all that in relatively stable camera work, something the first movie struggled with, shows how you can really continue to improve if you take the time and think things through.DISLIKES:The Comedy A Bit Too Forced
-There are times where the humor is a bit forced for me, primarily in the moments where they just spout joke after joke after joke to the point where things get lost.-These moments are few and far between for me, but there are times where a character gets annoying over funny.Some Pacing Offsets
-There are times where the movie trips up on the pace for me. A few moments where the conversations are dragged out or we get a tad touchy feeling and not enough of seeing what's going on.-This happened about the first hour or so for me, but once that part passes most of the movie establishes the pace I talked about for much of the movie.-At least until the need.The Ending 20 minutes for me
-The ending 20 minutes felt very dragged out as it set up the cliffhanger we knew was coming the moment it said part 1 long ago.-The ending is very drawn out, you know the movie is over, and you know what is coming, but it uses the art to drag it out, bloating the movie for the twenty minutes that could have been in the next movie.-Fortunately one of the final moments adds that fantastic bridge with music, shots, and feels that work, but still... we could have cut a few things out.-And fortunately there are no end credits, which there does not need to be.The Sound Quality With Some Characters
-It might have been my theater, but some of the characters mumble and talk fast meaning... it's hard to hear them.-Spider-Punk has some of the best lines, but they get drowned out by background noise, mumbling speakers, and sound inconsistencies.-This leads to missing several things and taking away from the character that seems so cool, and this happens to several other characters when there is so much noise. As such, those moments are annoying to me, but again could be theater dependents.The VERDICT:
Overall, the praise is worthy to Across the Spider-Verse, and I was very happy with much of the film that they brought to life to this theater. It's a sequel that does things right, taking the first movie's foundations and bringing with it something to build up and enjoy to the full extent. That bold and beautiful art has been refined to near perfection, and does so much storytelling alone that it's almost enough to go see it just for that in theater. But the movie integrates story, morals, comedy, nostalgia, and action to a degree that really feels like some of the strongest storytelling in a superhero movie. I love the authentic feel of a superhero story, and I love the passion of balancing so much in a movie without every losing track of the story to tell. Sure there were pacing issues and some sound flops for me, but that's really minor when it comes to the movie overall and everything they did to make this movie the middle of the trilogy, but still stand on its own. You can obviously guess I'm recommending this for the theater, and yes families can see it as there aren't too much dark moments. And my scores for those who need it are:Animation/Action/Adventure: 9.0-9.5
Movie Overall: 8.5."
"13","Spider-Man: Across the Spider-Verse","sfarrow8","2 June 2023",1010,"I am absolutely lost for words. How the hell did they top the first one??? This is easily, without a shadow of a doubt, the film of the year. It perfectly balances humour and emotional beats on a razor thin blade. It's richly layered, complex and the attention to detail is absolutely incredible. The story is phenomenal, the characters are believable and have excellent levels of depth, the soundtrack is fantastic. My expectations were completely exceeded, I spent the entire 2h 30m runtime in awe. But one thing above all deserves very special praise :THE ARTWORK.This films aesthetic is jaw-dropping, I found myself plunged (for the second time now) straight into the pages of a comic book from my youth. The use of colour is remarkable, the animation is smoother than silk, the textures, the backgrounds, the lighting, the style itself - everything blends together perfectly to create one of the most visually stunning things ever committed to the screen. Almost any shot could be a painting, with inextricable layers upon layers of marvellous detail, hand-crafted by some extremely talented individuals. This is cinema.If this doesn't win the Oscar for best animated feature I'm rioting, and you'd better join me. GO AND SEE THIS FILM RIGHT NOW."
"14","Spider-Man: Across the Spider-Verse","penelopemmorris","8 June 2023",610,"I was a huge fan of the first movie, excited for the sequel and pretty hopeful after I saw massive amount of RAVE reviews online claiming it to be better than the original. Well, that couldn't be further from the truth. The runtime was way too long and I FELT it from the beginning of the movie! (during Gwen's 20 minute opening.) By the time the film picked up its pace and stakes (the last 30 minutes) I was already mentally checking out, watching the time and waiting for it to end. And yes, basically nothing is resolved by the end of it, if you're wondering. Multiple people in my theater were groaning as the credits began rolling, due to the cliffhanger. Scenes stretched on far too long, had repetitive dialogue and just set up the final movie. I truly don't see the hype about this one. I think the wrap up next year will be good, I have seen films do a better job in a trilogy of making the second movie mean something. I feel harsh saying this, as the animation, soundtrack and characters are awesome! I just feel like people are acting like this is the best animated movie to be released, but it's just not. It doesn't live up to the greatness of it's predecessor. Hopefully the finale next year will make it all worth it!"
"15","Spider-Man: Across the Spider-Verse","jenkinscammy","7 June 2023",610,"Takes itself way too seriously, and fails to tell a compelling story.The writers apparently tried to re-use the formula for the first Spider-Verse movie, at the expense of character growth.This movie has a cliff-hanger ending, meaning that it's really just half of a movie. It hurts the pacing.The action is very predictable, but at the same time, the story is unnecessarily complicated. There's never any fear that any of the main characters are in danger.Overall, it's missing the wholesome, lighthearted moments which were so endearing in the first movie. This is a good movie to skip in the theaters and catch on streaming/DVD."
"16","Spider-Man: Across the Spider-Verse","gabethedinosaur","2 June 2023",1010,"It was absolutely awesome. I felt like I was traveling from the multiverse to my childhood back in 2002 when I saw Tobey maguire Spider-Man 21 years ago when I was 7 years old. And seeing all the other spider people including Spider-cat and Spider-rex . The spot traveling to venoms universe was absolutely hilarious. I hope to see ultimate Spider-Man from the video game I never finished on GameCube or Xbox for almost 17 years since I was a kid. Seeing 2018 Spider-Man from the PS4 game was very outstanding. I hope in Spider-Man beyond the spiderverse meets Tobey maguire and miles teams up with him and he helps him build the device and Gwen meets Andrew Garfield's Spider-Man and they help build the same device to bring miles home ."
"17","Spider-Man: Across the Spider-Verse","Tired_Reviewer","31 May 2023",1010,"The 5 years was worth the wait. Amazing animation, beautiful characters with rich backstories, the fights are amazing, Gwen's story is amazing, EVERYTHING IS AMAZING! This entire movie is gorgeous and keeps you hooked and almost forces you to continue watching, that's how amazing it is. The hype around this movie was 100% deserved and made sense, seeing as how this movie may be the greatest film I have ever seen.This isn't your run of the mill kids move, action movie, animated movie. It's a masterpiece that all ages can enjoy. An amazing sequel that sets extremely high hopes for the third movie."
"18","Spider-Man: Across the Spider-Verse","FeastMode","2 June 2023",710,"Spider-Man: Across the Spider-Verse is the first of a two part movie. These studios should be legally required to put ""part 1"" in the title. Fast X did the same thing and I felt unsatisfied when the movie abruptly ends with everything completely unresolved.Now Across the Spider-Verse endlessly better, but I still had that unsatisfied feeling when I realized I was watching the first half of a really long movie. So much is set up in the first act, including a cool villain, and is left completely unresolved.Think about your favorite movies. Now imagine that when you saw them for the first time, someone cut it off halfway through and made you wait a year for the rest. A movie needs to be able to stand on its own.Aside from that, I pretty much love this movie. I don't think it's as good as the original, but that's a high bar. The animation is incredible, especially during a long intro scene in a different universe. There are so many different styles and techniques. The characters are awesome, as are the ideas in this story.My only real issue is that the story felt a little messy and all over the place. But that made way more sense when I realized it was half of a movie. That's why we're still getting setup and introducing conflicts late in the movie. We'll have to wait and see how the second part pulls it all together. I also found the sound a little low during the action scenes and sometimes had trouble hearing the dialogue, even in Dolby Atmos.I already can't wait to see the next one. And if it does everything right, I can see myself raising the score for this one. I had a great time with Across the Spider-Verse. I also feel a bit unsatisfied.EDIT: On second viewing, I feel the same. It's awesome, but it's not complete. Instead of exciting escalation to a beastly climax, in the last half hour we get setup.(2 viewings, opening Thursday UltraScreen 6/1/2023, UltraScreen 6/7/2023)"
"19","Spider-Man: Across the Spider-Verse","TheBigSick","10 June 2023",NA,"Spider-Man: Across the Spider-Verse is a disappointing sequel to the 2018 film Spider-Man: Into the Spider-Verse. The film is plagued by pacing issues, a reliance on clichés, and a lack of focus.The film's biggest problem is its length. At two hours and twenty minutes, it feels like two movies crammed into one. The first half of the film is slow and meandering, with too many subplots that don't really go anywhere. The second half of the film is much better, but it still feels rushed.Another issue with the film is its reliance on clichés. The theme of family is particularly overused, and it doesn't really add anything new to the story. The film also suffers from some pacing issues, with some scenes feeling too long and others feeling too short.Overall, Spider-Man: Across the Spider-Verse is a disappointing sequel that fails to live up to the high expectations set by its predecessor."
"20","Spider-Man: Across the Spider-Verse","daralad","18 June 2023",510,"I loved into the spiderverse, it had great animation, great characters, great plot development and great music. There is simply no way across the spiderverse is better. By the end of this it felt like they were dragging it out and I had lost interest quite some time previously. The animation is good but sometimes less is more, and there was less differentiation between the styles, I don't think bill sienkiewicz was involved in this one. I remember my emotions building in the first one, peaking when what's up danger kicked in in the soundtrack, but this got into some schlocky emotional teen drama territory that made me yawn. I also felt it was a bit cynical to split it in two, I'm sure the full story could have been told in one movie which would have upped the quality of the animation too. Then there was the sense of universal danger overload that this and other stories revert to to ramp up the drama; whether a universe or every parallel universe and it's uncle is at stake, who cares, trying to make it bigger than before doesn't increase drama, that comes from character and plot development, yeah, like it did in the first one. It needed more jokes too, nowhere near as funny as the last time."
"21","Spider-Man: Across the Spider-Verse","pressboard","15 June 2023",610,"I generally liked the animation but it constantly reminded me of trying to watch a 3D movie without the 3D glasses. The petty drama is endless and becomes old fast. There are loads of action scenes that immediately devolve into slow soap opera drama. My wife and I kept nodding off during these whine-a-thones which seemed very contrived. I did like all of the iterations of spider flavors in the Spiderverse which were endlessly creative and entertaining. The music always suggests exciting action scenes but this becomes a little exhausting after the 4th or 5th wind up. Long winded exposition seems necessary to spoon feed a very lengthy and convoluted plot. When I booked I noticed the theater was sold out but we left before the end and noticed that only 10 members of the audience still remained having left before us. Spot was a good albeit comedic villain. I would suggest going just for the animation and humor even with the 140min run time."
"22","Spider-Man: Across the Spider-Verse","srdjankostic91","31 May 2023",1010,"I rarely write reviews, but this movie is truly exceptional. It takes everything that was great about the first film and elevates it to a whole new level. I have honestly never witnessed such remarkable animation as in ""Across the Spider-Verse."" The visuals are breathtaking, featuring a wide array of styles. It is a true multiverse experience, with an abundance of captivating details in every frame, including numerous Easter eggs and a vibrant color palette. I found myself not wanting it to end, despite its substantial length. Knowing that the next part will be released in 2024 brings me immense joy because waiting a few more years to see how this story unfolds would be agonizing.The story is exceptionally well-crafted, expanding upon the existing characters while introducing new ones and incorporating intriguing twists. The humor throughout the film is spot-on, providing moments of levity without undermining the emotional depth of the narrative.Just go and see it!"
"23","Spider-Man: Across the Spider-Verse","georgetbarber","2 June 2023",710,"Adjusted rating - 8.5/10: a genuine spectacle, you could take thousands of shots from this movie and turn them into posters, it's beautiful to look at. I'd definitely suggest seeing this at the cinema because the use of colours and the work which has gone into the animations is undoubtedly the highlight, I actually can't think of a more visually creative movie I've seen. Great soundtrack too, and quite funny. One of my criticisms is it's got that ""Deadpool"" kind of style where literally everything is tongue in cheek, it needed more genuinely serious scenes just to break it up. Like there are these big arguments and then a joke is thrown in half way through, who does that? Also it's got quite bad dialogue but it's a family superhero movie so I went in expecting that, only a minor point really.Real rating - 7/10: it's half a movie man!! It's a part 1, and I feel a bit cheated that I went in not knowing that. There was commotion in the cinema when it ended, a lot of people were annoyed. I just don't get this trend in cinema, for me a great movie needs to be able to stand on its own. 2h30 is plenty of time to tell a compelling story without ending on a cliffhanger. Think the plot would've been better suited to a series format - it's already kind of like a high budget Arcane in feel - but obviously that wouldn't work with the first movie and it wouldn't make as much money. To make it a great movie they should've dissolved one of the sub plots and actually finished it."
"24","Spider-Man: Across the Spider-Verse","matris1","3 June 2023",810,"The good: This is a gorgeous and competently made film. With every scene / direction / frame constructed meticulously and it shows. It pushes the boundaries of animated movies and does it with style. The voice acting is good. The movie respects and pays homage to spider-man lore whilst offering something fresh (hard to pull off). Almost all the side characters feel real and fleshed out - even those with minimal screen time.The bad: It's most definitely a middle chapter and the film suffers for it. The movie is long, the pacing suffers, and scenes feel drawn out - which makes sense when you understand it's not trying to reach the end. The movie 'finishes' literally in the middle of a plot beat - when it didn't need to. Empire Strikes Back has shown us how it's done. It feels like pure marketing/money making tactics. A shame.Should you watch it: If you like Into the Spider-Verse - most definitely. The film pays homage to spider-man (both on and off screen) while offering something new. It's also just a brilliantly made animated film. Highly recommended."
"25","Spider-Man: Across the Spider-Verse","mrbledsoe53","3 June 2023",710,"As visually stunning and groundbreaking of the animation, unfortunately, it was too much to take. I'm in my early 40s so younger viewers probably won't be affected as much. Didn't have an issue with Into the Spider-verse, but apparently, they increased the intensity to the point that I left with a headache. The different frame rates of characters in the same scene, the visual distortion in the background at times, made it difficult to focus and was basically visual overstimulation. I enjoyed the story and would like to see Beyond the Spider-verse but may have to just read about it if the animation is as intense as this film."
"26","Spider-Man: Across the Spider-Verse","MiroslavKyuranov","31 May 2023",1010,"It's honestly absurd how good the ""Spider-Verse"" movies are. ""Across the Spider-Verse"" is just as great, if not better than ""Into the Spider-Verse"". I really don't know how. ""Spider-Man: Across the Spider-Verse"" is fantastic! Deftly juggles deeply heartfelt character beats with crazy multiverse content, just packed with so many delightful easter eggs. Loved how Gwen's story is expanded, her scenes with Shea Whigham's Captain Stacy are truly special.Can't wait for the third one. Every frame of this movie is gorgeous! I didn't want to blink because I didn't want to miss anything. You can watch this film over & over & finds something new to enjoy. There are some surprises in this film that I truly wasn't expecting.""Across the Spider-Verse"" is another milestone for animation. Yes it's gorgeous & visually mind-blowing, but this sequel surpasses the first for always putting Miles and his family front and center. The movie feels like a massive celebration for Spider-Man fans everywhere, whether you love the movies, games, comics, etc. But again, all the cameos and multiversal elements come second to both Miles and Gwen's story. Is a stunning achievement. Yes, it's visually dazzling, with expansive, expressive new realms The movie's real superpower is its emotional depth and its beautiful, melancholic tone.What more can I say...It's an actual work of art! Every frame deserves to be hung in a museum. The jokes and nods to Spidey lore are perfect. It's outstanding. ""Spider-Man: Across the Spider-Verse"" is yet another resounding win for the Lord Miller-produced universe. Hailee Steinfeld really comes into her own as Gwen Stacy. It's darker and sadder than I expected, but necessary."
